#Chef Koch's NSA Block List Cleaned and Sorted
#IPv6 Version
#Not included in default hosts file
#Last update 05/27/2019

:: 108.61.165
:: 130.117.50.166
:: 149.14.125.162
:: 185.82.202
:: 29PALMSBOMI-NSN.GOV
:: 404.GOV
:: 511MAINE.GOV
:: 511NY.GOV
:: 511TX.GOV
:: 511WI.GOV
:: 9-11COMMISSION.GOV
:: 911.GOV
:: 911COMMISSION.GOV
:: a.dns.br
:: a.dns.songnetworks.se
:: a.dns.tds.net
:: a.in-addr.cn
:: a.ns.aeronet.com.br
:: a.ns.broadviewnet.net
:: a.ns.interland.net
:: a23-76-131-36.deploy.static.akamaitechnologies.com
:: aaadel.mantraonline.com
:: AAPI.GOV
:: abac.au.ac.th
:: ABANDONEDMINES.GOV
:: ABERDEENWA.GOV
:: ABILITYONE.FED.US
:: ABILITYONE.GOV
:: ABINGDON-VA.GOV
:: ABINGTONMA.GOV
:: ABMC.GOV
:: ABSECONNJ.GOV
:: ABSENTEESHAWNEETRIBE-NSN.GOV
:: ACCESS-BOARD-MEMBERS.GOV
:: ACCESS-BOARD.GOV
:: access.akamai.com
:: access.kuwait.net
:: ACCESSPRINCETONNJ.GOV
:: ACCESSTN.GOV
:: ACF.GOV
:: ACHP.GOV
:: ACL.GOV
:: ACQUISITION.GOV
:: ACTON-MA.GOV
:: ACTONMA.GOV
:: ACUS.GOV
:: ACWI.GOV
:: ad2upapp.com
:: ADA.GOV
:: ADAK-AK.GOV
:: ADAMN.GOV
:: ADAMSCOUNTYMS.GOV
:: ADAMSCOUNTYOH.GOV
:: ADDISONTX.GOV
:: ADF.GOV
:: ADLNET.GOV
:: adm.kemoge.net
:: adm.uec.ac.jp
:: adm2.uec.ac.jp
:: admiral.umsl.edu
:: ADMONGO.GOV
:: adonis.telekom.yu
:: ADR.GOV
:: adrastea.xerox.com
:: ADRCNJ.GOV
:: ADRIANMI.GOV
:: ads.kemoge.net
:: ads.vidz4fun.com
:: ADVANTAGE.GOV
:: AFADVANTAGE.GOV
:: AFF.GOV
:: AFRH.GOV
:: AFRICANAMERICANHISTORYMONTH.GOV
:: AFTAC.GOV
:: AFTERSCHOOL.GOV
:: AFTONWYOMING.GOV
:: AG.GOV
:: AGAZ.GOV
:: AGINGSTATS.GOV
:: AGUACALIENTE-NSN.GOV
:: AHCPR.GOV
:: AHRQ.GOV
:: AIDS.GOV
:: AIKENCOUNTYSC.GOV
